Fecha,Departamento,Municipio,Evento,Fallecidos,Heridos,Familias,Viviendas Destruidas,Hectareas,Recursos Ejecutados,Valor Kit De Alimento,Valor Materiales De Construccion,Año,Mes
2019-03-13,CORDOBA,MONTELIBANO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,50.0,0.0,0.0,0.0,2019,3
2019-03-13,MAGDALENA,ARACATACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,3
2019-03-13,ARAUCA,ARAUQUITA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1200.0,0.0,0.0,0.0,2019,3
2019-03-14,BOLIVAR,CARTAGENA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,100.0,0.0,0.0,0.0,2019,3
2019-03-13,SANTANDER,ZAPATOCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,3
2019-03-12,ANTIOQUIA,NECOCLI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,90.0,0.0,0.0,0.0,2019,3
2019-03-14,MAGDALENA,FUNDACION,INCENDIO DE COBERTURA VEGETAL,1,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-14,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,3
2019-03-14,MAGDALENA,ARACATACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,3
2019-03-14,ATLANTICO,SABANALARGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,3
2019-03-14,NORTE DE SANTANDER,ABREGO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,3
2019-03-14,SANTANDER,GAMBITA,AVENIDA TORRENCIAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-14,SANTANDER,MACARAVITA,SEQUIA,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-11,CUNDINAMARCA,VERGARA,VENDAVAL,0,0,13,1,0.0,0.0,0.0,0.0,2019,3
2019-03-14,RISARALDA,SANTA ROSA DE CABAL,INUNDACION,0,0,12,0,0.0,0.0,0.0,0.0,2019,3
2019-03-14,CALDAS,CHINCHINA,MOVIMIENTO EN MASA,0,0,0,1,0.0,0.0,0.0,0.0,2019,3
2019-03-14,BOYACA,AQUITANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,3
2019-03-14,GUAINIA,INIRIDA,INCENDIO ESTRUCTURAL,0,0,4,4,0.0,0.0,0.0,0.0,2019,3
2019-03-04,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,3
2019-03-05,MAGDALENA,SITIONUEVO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,3
